p,y
http://www.w3.org/2000/01/rdf-schema#label,Помоћ:Садржај/Почетак
http://www.w3.org/2000/01/rdf-schema#label,உதவி: துவங்குதல்
http://www.w3.org/2000/01/rdf-schema#label,సహాయం:సూచిక/ప్రవేశిక
http://www.w3.org/2000/01/rdf-schema#label,Ýardam:Içindäkiler/Başlangyç
http://www.w3.org/2000/01/rdf-schema#label,Yardım:İçindekiler/Başlarken
http://www.w3.org/2000/01/rdf-schema#label,Trợ giúp:Mục lục/Bắt đầu
http://www.w3.org/2000/01/rdf-schema#label,הילף:אינהאלט/וואס איז וויקיפעדיע
http://www.w3.org/2000/01/rdf-schema#label,Help:目錄/起步
http://www.w3.org/2000/01/rdf-schema#label,Help:目录/从这里开始
http://schema.org/description,Wikimedia-projekbladsy
http://schema.org/description,উইকিমিডিয়া প্রকল্পের পাতা
http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Dr%20Amy%20Kankonen.jpg
http://www.wikidata.org/prop/P18,http://www.wikidata.org/entity/statement/Q58815693-8264D6EB-C404-47AC-A6C9-4E2353F3A8F5
http://www.wikidata.org/prop/P21,http://www.wikidata.org/entity/statement/Q58815693-1C82FC3C-E21F-49DC-8C89-DC7E2349A782
http://www.wikidata.org/prop/P31,http://www.wikidata.org/entity/statement/Q58815693-89EDFE26-6371-4DDB-8A29-5C9F51194754
http://www.w3.org/2000/01/rdf-schema#label,Amy Kaukonen
http://www.w3.org/2000/01/rdf-schema#label,Amy Kaukonen
http://www.w3.org/2000/01/rdf-schema#label,Amy Kaukonen
http://www.w3.org/2000/01/rdf-schema#label,Amy Kaukonen
http://www.w3.org/2000/01/rdf-schema#label,Amy Kaukonen
http://schema.org/version,1494602309
http://schema.org/version,1506907605
http://schema.org/dateModified,2021-09-08T17:11:41Z
http://wikiba.se/ontology#timestamp,2021-09-08T17:11:48Z
http://schema.org/dateModified,2021-10-02T14:35:48Z
http://wikiba.se/ontology#timestamp,2021-10-02T14:36:04Z
http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q1330634
